p,times1,team_times1,won1,team_won1,last,max_times12,mean
159089,900,4,284,0,2008-08-20 22:16:34,1,30.7797455363
159107,900,27,311,9,2009-03-02 03:00:34,7,30.9748658658
159156,900,10,265,4,2008-07-17 18:09:52,1,28.536112638
159161,900,108,385,63,2009-01-03 23:36:08,63,31.2806995552
159271,900,274,391,145,2009-06-19 13:16:27,78,32.6467519549
159375,900,127,182,45,2008-03-01 02:57:31,6,29.3835000332
159395,900,8,572,6,2008-06-12 20:35:09,4,32.1359759283
159447,900,36,257,15,2009-01-31 18:15:43,6,33.5457814054
159505,900,15,226,8,2008-10-16 23:12:37,12,30.2945934426
159643,900,17,228,7,2009-06-28 16:17:57,2,26.4195803859
159699,900,142,386,51,2009-03-30 18:17:43,42,30.7114697508
159779,900,28,223,12,2008-11-24 17:15:53,3,27.8108697862
159812,900,43,257,10,2008-04-22 07:27:10,2,32.5099691939
159951,900,731,573,525,2008-08-06 21:57:41,56,30.3747418092
159997,900,71,225,29,2009-02-05 04:00:40,3,29.0470508362
160016,900,356,479,182,2009-04-10 14:55:48,268,32.546988871
160018,900,4,179,1,2008-11-10 01:46:12,1,30.9684588396
160245,900,50,357,29,2008-07-01 07:36:20,27,30.8470983259
160269,900,84,268,53,2008-01-04 23:19:36,9,31.457804896
160311,900,99,261,52,2008-07-03 17:05:42,6,31.1473646711
160358,900,1,269,0,2008-03-12 02:06:17,1,29.0090258109
160527,900,42,245,12,2008-11-01 02:21:32,35,29.8789059737
160547,900,33,413,15,2008-05-07 21:37:00,7,31.6511036681
160653,900,12,187,7,2008-06-20 22:10:56,3,29.2211327345
160757,900,206,257,87,2008-09-14 18:07:31,21,30.4185598379
160859,900,31,252,16,2008-02-26 22:42:30,13,30.5316551571
160920,900,16,306,12,2008-06-07 08:44:59,11,31.7239085981
161005,900,243,157,55,2009-03-06 15:51:13,5,29.1520192007
161085,900,51,287,19,2008-01-05 03:21:45,5,30.1802405042
161297,900,44,465,18,2008-11-25 01:12:49,7,31.5273528939
161364,900,6,210,2,2008-10-03 10:41:29,1,30.2205030338
161480,900,5,496,1,2008-06-02 20:32:31,1,33.8599109329
161529,900,7,217,3,2008-08-17 04:45:13,5,28.349097398
161535,900,129,120,31,2008-11-07 10:30:43,12,26.8223751628
161685,900,147,223,60,2009-01-04 20:12:56,8,29.7574019805
161750,900,11,223,1,2008-05-03 12:59:51,2,27.3892722337
161840,900,95,292,13,2008-08-19 22:04:28,83,29.7281060416
161911,900,6,254,1,2008-10-30 10:21:53,2,29.6198949864
161916,900,164,353,87,2008-03-23 19:45:26,68,32.0362065764
162214,900,29,378,16,2009-01-12 08:30:40,21,31.2935216323
162289,900,11,233,2,2008-04-07 01:42:33,2,30.505252501
162360,900,15,413,9,2008-11-11 23:28:17,3,30.8364929325
162371,900,181,285,98,2008-12-10 13:11:21,26,31.0526889535
162459,900,24,350,10,2008-12-01 19:11:11,16,31.177431565
162538,900,1,539,0,2008-09-17 20:08:23,1,30.9354293559
162549,900,167,424,77,2008-08-23 02:00:04,66,32.0966172636
162583,900,6,211,0,2008-08-22 18:34:48,2,29.9892071183
162637,900,144,287,43,2008-05-13 02:56:32,31,30.1403477356
162680,900,71,179,26,2009-04-19 18:51:10,30,29.2314466013
162812,900,19,352,4,2008-02-20 00:43:27,4,27.9986063854
163008,900,54,353,16,2008-03-21 00:15:05,2,30.7946137216
163019,900,700,436,392,2009-06-15 22:58:47,544,30.3175470373
163165,900,215,298,110,2008-11-10 20:05:48,129,30.5945667467
163196,900,766,283,259,2008-11-25 13:07:26,8,28.3735922587
163220,900,9,293,2,2008-07-21 00:56:49,1,29.4230431979
